X,Y,gid,Name,description,CNAME_E,OBJECTID,LABEL_E,C_PREFIX_E,C_PREFIX_A,COMMUNITY_,DGIS_ID,COMM_NUM,NDGIS_ID,SHAPE_AREA,SHAPE_LEN
55.48839347,25.20365779,37,kml_37,,WADI ALAMARDI,59,WADI ALAMARDI,Community:,,WADI ALAMARDI - 271,75,271,75,24184196.97,20723.4294
55.26856332,25.22439332,40,kml_40,,AL BADA',62,AL BADA',Community:,,AL BADA' - 333,65,333,65,1984700.539,7946.070175
55.31848544,25.28736781,41,kml_41,,CORNICHE DEIRA,63,CORNICHE DEIRA,Community:,,CORNICHE DEIRA - 121,9,121,9,870784.2429,5165.842443
55.52542033,25.22992313,42,kml_42,,AL KHWANEEJ SECOND,64,AL KHWANEEJ SECOND,Community:,,AL KHWANEEJ SECOND - 282,56,282,56,12694068.28,14582.35151
55.19491783,25.11004745,43,kml_43,,AL BARSHA FIRST,65,AL BARSHA FIRST,Community:,,AL BARSHA FIRST - 373,120,373,120,3954266.281,9408.602098
55.23871537,25.17576996,44,kml_44,,AL SAFA FIRST,66,AL SAFA FIRST,Community:,,AL SAFA FIRST - 353,90,353,90,2430428.562,6705.662879
55.39065716,25.22467127,46,kml_46,,AL RASHIDIYA,68,AL RASHIDIYA,Community:,,AL RASHIDIYA - 216,141,216,141,4840781.484,10171.56989
55.24160868,25.15999263,50,kml_50,,AL QOUZ THIRD,72,AL QOUZ THIRD,Community:,,AL QOUZ THIRD - 358,106,358,106,2423039.425,6233.699276
55.30615649,25.22127195,51,kml_51,,ZAA'BEEL FIRST,73,ZAA'BEEL FIRST,Community:,,ZAA'BEEL FIRST - 325,69,325,69,4120079.347,8793.464506
55.23351155,25.08654143,58,kml_58,,AL BARSHA SOUTH FIRST,80,AL BARSHA SOUTH FIRST,Community:,,AL BARSHA SOUTH FIRST - 671,127,671,127,5900197.192,11324.76736
55.26939795,25.18243274,47,kml_47,,BUSINESS BAY,69,BUSINESS BAY,Community:,,BUSINESS BAY - 346,248,346,248,6586257.005,12890.66781
55.25290628,25.16930209,52,kml_52,,AL QOUZ FIRST,74,AL QOUZ FIRST,Community:,,AL QOUZ FIRST - 354,96,354,96,3571186.697,7680.819909
55.27764669,25.19489921,48,kml_48,,BURJ KHALIFA,70,BURJ KHALIFA,Community:,,BURJ KHALIFA - 345,83,345,83,2660075.459,6788.521865
55.34914443,25.15583471,49,kml_49,,NADD AL SHIBA SECOND,71,NADD AL SHIBA SECOND,Community:,,NADD AL SHIBA SECOND - 615,100,615,100,7486459.441,11383.64114
55.06113747,24.91941123,53,kml_53,,JABAL ALI INDUSTRIAL THIRD,75,JABAL ALI INDUSTRIAL THIRD,Community:,,JABAL ALI INDUSTRIAL THIRD - 516,174,516,174,30005970.4,22793.0909
55.21856878,24.99477898,55,kml_55,,ME'AISEM SECOND,77,ME'AISEM SECOND,Community:,,ME'AISEM SECOND - 686,231,686,231,10430083.98,15227.34479
55.30468568,25.24439079,56,kml_56,,AL KARAMA,78,AL KARAMA,Community:,,AL KARAMA - 318,54,318,54,2106964.376,6088.773991
55.44409235,24.90887253,57,kml_57,,AL LESAILY,79,AL LESAILY,Community:,,AL LESAILY - 931,214,931,214,112688806.3,41997.29536
55.42695815,25.12279918,64,kml_64,,AL ROWAIYAH FIRST,86,AL ROWAIYAH FIRST,Community:,,AL ROWAIYAH FIRST - 812,181,812,181,11490135.95,16051.71968
55.40329974,25.18816188,59,kml_59,,AL WARQA'A FIRST,81,AL WARQA'A FIRST,Community:,,AL WARQA'A FIRST - 421,85,421,85,2356626.887,6217.991559
55.39102063,25.29731247,60,kml_60,,AL QUSAIS IND. THIRD,82,AL QUSAIS IND. THIRD,Community:,,AL QUSAIS IND. THIRD - 246,3,246,3,925051.6726,4908.534005
55.44167302,25.244742,61,kml_61,,AL MIZHAR FIRST,83,AL MIZHAR FIRST,Community:,,AL MIZHAR FIRST - 262,140,262,140,6864620.96,10735.87778
55.43936945,25.00312269,62,kml_62,,AL YUFRAH 1,84,AL YUFRAH 1,Community:,,AL YUFRAH 1 - 915,206,915,206,17499991.42,19106.40381
55.42328057,25.22120796,63,kml_63,,MIRDIF,85,MIRDIF,Community:,,MIRDIF - 251,66,251,66,9350317.476,12975.64804
55.19009693,25.04652153,65,kml_65,,AL BARSHA SOUTH FIFTH,87,AL BARSHA SOUTH FIFTH,Community:,,AL BARSHA SOUTH FIFTH - 684,155,684,155,2951378.618,10868.93666
55.22519604,25.1595512,66,kml_66,,AL SAFA SECOND,88,AL SAFA SECOND,Community:,,AL SAFA SECOND - 357,101,357,101,1892794.557,5986.169031
55.36213806,25.27144519,67,kml_67,,AL TWAR FIRST,89,AL TWAR FIRST,Community:,,AL TWAR FIRST - 226,21,226,21,2563983.966,7385.437377
55.38219495,25.26133858,71,kml_71,,AL TWAR SECOND,93,AL TWAR SECOND,Community:,,AL TWAR SECOND - 227,42,227,42,1110878.34,4566.490443
55.30307058,25.27802086,95,kml_95,,AL CORNICHE,117,AL CORNICHE,Community:,,AL CORNICHE - 111,20,111,20,611325.1339,3960.3153
55.2792184,25.24251521,72,kml_72,,AL HUDAIBA,94,AL HUDAIBA,Community:,,AL HUDAIBA - 322,58,322,58,882341.245,4265.576386
55.18598344,25.01985654,68,kml_68,,ME'AISEM FIRST,90,ME'AISEM FIRST,Community:,,ME'AISEM FIRST - 685,163,685,163,16423985.4,16671.06061
55.41700301,25.24390168,69,kml_69,,MUHAISNAH FIRST,91,MUHAISNAH FIRST,Community:,,MUHAISNAH FIRST - 261,53,261,53,4973393.311,9272.092101
55.32764951,25.19541903,70,kml_70,,RAS AL KHOR,92,RAS AL KHOR,Community:,,RAS AL KHOR - 413,168,413,168,7793549.155,12420.9269
55.60849063,25.0581923,73,kml_73,,LEHBAB FIRST,95,LEHBAB FIRST,Community:,,LEHBAB FIRST - 731,199,731,199,34653078.96,24244.62179
55.19747557,25.09142124,74,kml_74,,AL BARSHA THIRD,96,AL BARSHA THIRD,Community:,,AL BARSHA THIRD - 375,125,375,125,4946791.453,10125.69198
55.40085352,25.29338943,129,kml_129,,AL QUSAIS IND. FOURTH,151,AL QUSAIS IND. FOURTH,Community:,,AL QUSAIS IND. FOURTH - 247,5,247,5,727747.056,3551.175376
55.32255182,25.27439508,75,kml_75,,AL MUTEENA,97,AL MUTEENA,Community:,,AL MUTEENA - 123,25,123,25,1113041.985,4318.757792
55.46051328,25.2431247,84,kml_84,,AL MIZHAR SECOND,106,AL MIZHAR SECOND,Community:,,AL MIZHAR SECOND - 263,51,263,51,4306286.23,8811.91773
55.59641417,24.86379982,76,kml_76,,UMM ESELAY,98,UMM ESELAY,Community:,,UMM ESELAY - 847,191,847,191,35161166.39,26547.18328
55.31075561,25.27298146,77,kml_77,,NAIF,99,NAIF,Community:,,NAIF - 118,29,118,29,747248.209,3795.174934
55.27815708,25.21804195,78,kml_78,,TRADE CENTER FIRST,100,TRADE CENTER FIRST,Community:,,TRADE CENTER FIRST - 335,72,335,72,834875.9415,7303.948384
55.27334848,25.22036921,79,kml_79,,AL SATWA,101,AL SATWA,Community:,,AL SATWA - 334,67,334,67,2692886.234,8492.479649
55.09583895,24.8234996,112,kml_112,,SAIH SHUAIB 4,134,SAIH SHUAIB 4,Community:,,SAIH SHUAIB 4 - 533,169,533,169,19368410.96,18196.58216
55.5713463,25.02205944,80,kml_80,,LEHBAB SECOND,102,LEHBAB SECOND,Community:,,LEHBAB SECOND - 831,187,831,187,62307557.01,39399.83432
55.3258626,25.17648249,82,kml_82,,BU KADRA,104,BU KADRA,Community:,,BU KADRA - 611,94,611,94,1745153.076,5529.754524
55.29429179,25.24914142,83,kml_83,,MANKHOOL,105,MANKHOOL,Community:,,MANKHOOL - 317,50,317,50,1960287.932,5810.545014
55.26881325,25.05089696,85,kml_85,,WADI AL SAFA 6,107,WADI AL SAFA 6,Community:,,WADI AL SAFA 6 - 664,158,664,158,7811939.719,13382.27968
54.96734611,24.93520954,93,kml_93,,HESSYAN SECOND,115,HESSYAN SECOND,Community:,,HESSYAN SECOND - 512,243,512,243,51898450.13,41905.70228
55.32249396,25.23838705,81,kml_81,,UMM HURAIR SECOND,103,UMM HURAIR SECOND,Community:,,UMM HURAIR SECOND - 315,57,315,57,3397079.154,9197.756422
55.67011039,24.76423305,103,kml_103,,YARAAH,125,YARAAH,Community:,,YARAAH - 861,194,861,194,76472908.38,37281.55931
55.33509452,25.30101091,87,kml_87,,AL HAMRIYA PORT,109,AL HAMRIYA PORT,Community:,,AL HAMRIYA PORT - 131,2,131,2,920801.7819,6242.459225
55.39738176,25.10659861,88,kml_88,,AL ROWAIYAH SECOND,110,AL ROWAIYAH SECOND,Community:,,AL ROWAIYAH SECOND - 813,182,813,182,7485660.5,11694.68045
55.40774779,25.14301385,104,kml_104,,WARSAN FOURTH,126,WARSAN FOURTH,Community:,,WARSAN FOURTH - 624,232,624,232,7865352.804,12740.10776
55.43726849,25.15650434,90,kml_90,,WARSAN SECOND,112,WARSAN SECOND,Community:,,WARSAN SECOND - 622,99,622,99,8626151.824,12691.48164
55.38660072,25.2867305,91,kml_91,,AL QUSAIS IND. FIRST,113,AL QUSAIS IND. FIRST,Community:,,AL QUSAIS IND. FIRST - 242,8,242,8,1437921.905,5287.921302
55.16500915,25.10139006,92,kml_92,,AL SAFOUH SECOND,114,AL SAFOUH SECOND,Community:,,AL SAFOUH SECOND - 382,124,382,124,4279072.416,9678.808922
55.34716596,25.28257332,94,kml_94,,HOR AL ANZ EAST,116,HOR AL ANZ EAST,Community:,,HOR AL ANZ EAST - 133,13,133,13,1377275.157,4804.76205
55.37608528,25.28977592,212,kml_212,,AL NAHDA SECOND,8,AL NAHDA SECOND,Community:,,AL NAHDA SECOND - 241,7,241,7,2211570.57,5984.624895
55.45383572,25.18050849,96,kml_96,,AL WARQA'A FIFTH,118,AL WARQA'A FIFTH,Community:,,AL WARQA'A FIFTH - 425,88,425,88,4252120.37,8301.737397
